"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","327","Get courses","LMS Service","2026-08-11","passed","2026-08-11","Get entities","Courses","",""
"","318","Get exercise","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Exercises","",""
"","303","Create file with empty directory","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","327","Delete file","LMS Service","2026-08-11","passed","2026-08-11","Delete entity","Files","",""
"","15","Get exercises","LMS Service","2026-08-11","passed","2026-08-11","Get entities","Exercises","",""
"","26","Create course","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Courses","",""
"","319","Login with correct email and password","LMS Service","2026-08-11","passed","2026-08-11","Login","Authentication","",""
"","21","Create file","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Files","",""
"","13","Get file","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Files","",""
"","12","Get user me","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Users","",""
"","15","Get file with incorrect file id","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","327","Create exercise","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Exercises","",""
"","15","Create file with empty filename","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","629","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","333","Update courses","LMS Service","2026-08-11","passed","2026-08-11","Update entity","Courses","",""
"","624","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","629","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","18","Update exercise","LMS Service","2026-08-11","passed","2026-08-11","Update entity","Exercises","",""
"","20","Delete exercise","LMS Service","2026-08-11","passed","2026-08-11","Delete entity","Exercises","",""
