"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Create course","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Courses","",""
"","306","Create file with empty filename","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","322","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","619","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","605","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","302","Create file with empty directory","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","621","Login with correct email and password","LMS Service","2026-08-11","passed","2026-08-11","Login","Authentication","",""
"","305","Create file","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Files","",""
"","14","Get exercise","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Exercises","",""
"","334","Update courses","LMS Service","2026-08-11","passed","2026-08-11","Update entity","Courses","",""
"","24","Get courses","LMS Service","2026-08-11","passed","2026-08-11","Get entities","Courses","",""
"","322","Delete exercise","LMS Service","2026-08-11","passed","2026-08-11","Delete entity","Exercises","",""
"","13","Get file with incorrect file id","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","19","Get file","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Files","",""
"","11","Get user me","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Users","",""
"","14","Get exercises","LMS Service","2026-08-11","passed","2026-08-11","Get entities","Exercises","",""
"","19","Delete file","LMS Service","2026-08-11","passed","2026-08-11","Delete entity","Files","",""
"","319","Update exercise","LMS Service","2026-08-11","passed","2026-08-11","Update entity","Exercises","",""
"","327","Create exercise","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Exercises","",""
